Common steps from all curves of the folder:
filename,Derivation of,step #,F1,F2,Fc,step start,step end,step length,filename,model,log_likelihood,Lc_ds,Lp_ds,Lp_ds_stderr,St_ds,Lc_ss,Lc_ss_stderr,Lp_ss,St_ss,f_offset,d_offset,Work_(pN*nm),Work_(kB*T)
5_steps_FD_curve,,0,,,,,,,5_steps_FD_curve,WLC,20504.688611434853,1260.999999998441,49.463773997680555,0.0017103323612250045,400.00000000000006,,,,,-0.15378308898056628,-78.7518950552321,0.0,0.0
5_steps_FD_curve,Distance,1,11.825873965391168,11.553037848200331,11.68945590679575,1166.2557173915802,1172.8879973710282,6.632279979447958,5_steps_FD_curve,WLC+WLC,152.81137613019234,1260.999999998441,49.463773997680555,,400.00000000000006,7.382084611417392,145.16514833980438,1.0,300.0000000007975,-0.15378308898056628,-78.7518950552321,39.31707926348747,9.556898216696032
5_steps_FD_curve,Distance,2,14.821116417098185,14.284716938392364,14.552916677745275,1188.2527470644352,1198.9888766242375,10.736129559802293,5_steps_FD_curve,WLC+WLC,121.33038732759834,1260.999999998441,49.463773997680555,,400.00000000000006,23.428830095399114,4021.5193409239855,1.0,300.0000000002168,-0.15378308898056628,-78.7518950552321,125.76612502887178,30.570278324956682
5_steps_FD_curve,Distance,3,14.563699635780651,13.801648261895537,14.182673948838094,1198.8229686444615,1210.7553867013594,11.932418056897859,5_steps_FD_curve,WLC+WLC,-117.92098270981505,1260.999999998441,49.463773997680555,,400.00000000000006,41.86838252088552,10.500132249385205,1.0,300.00000000000006,-0.15378308898056628,-78.7518950552321,142.91187287155094,34.73793701301676
5_steps_FD_curve,Distance,4,26.800573251541493,26.165911236086338,26.483242243813915,1271.09223703337,1282.733090357328,11.6408533239578,5_steps_FD_curve,WLC+WLC,88.29267045162548,1260.999999998441,49.463773997680555,,400.00000000000006,63.9975924409068,600.6969986673428,1.0,1477.2502691650898,-0.15378308898056628,-78.7518950552321,332.97741350659044,80.93763089610852
5_steps_FD_curve,Distance,5,30.785688645999464,30.90570526215521,30.845696954077336,1299.503566038151,1313.0665296354032,13.562963597252292,5_steps_FD_curve,WLC+WLC,-31.687476154094384,1260.999999998441,49.463773997680555,,400.00000000000006,72.69938440818935,119.13840618038209,1.0,300.00000000000006,-0.15378308898056628,-78.7518950552321,291.7820689154237,70.92417815153712
Short_intermediate_FD_curve,,0,,,,,,,Short_intermediate_FD_curve,WLC,25591.332844693352,1260.9999999698957,37.78284530628469,0.0016471811310944948,400.0000000000001,,,,,-0.2294074549434902,7.98966532179184,,
Short_intermediate_FD_curve,Distance,1,14.604139949977341,14.643655631902869,14.623897790940106,1261.6988153436046,1264.5449965113116,2.8461811677070727,Short_intermediate_FD_curve,WLC+WLC,88.31619735190264,1260.9999999698957,37.78284530628469,,400.0000000000001,2.040292679302463,7817.669174195487,1.0,300.0000362229196,-0.2294074549434902,7.98966532179184,,
Short_intermediate_FD_curve,Distance,2,15.13369920426063,14.566829458656898,14.850264331458764,1264.771881222624,1275.2757944047091,10.50391318208517,Short_intermediate_FD_curve,None,None,None,None,None,None,,,,,None,None,,
Short_intermediate_FD_curve,Distance,3,14.566829458656898,14.078573685970964,14.322701572313932,1275.2757944047091,1285.129726767142,9.853932362432943,Short_intermediate_FD_curve,WLC+WLC,-332.6317206904369,1260.9999999698957,37.78284530628469,,400.0000000000001,44.221985431014964,3.2688191205585695,1.0,300.0000000000001,-0.2294074549434902,7.98966532179184,,
